Questions,Query,Predicted,CorrectlyPredicted,TablesPredicted Correctly,Similarity,Columns predicted Correctly,Effectiveness
WHO SERVED AS AN ADVISOR FOR STUDENTS WHO HAVE TREASURER VOTES IN THE SPRING ELECTION CYCLE,"SELECT DISTINCT T1.ADVISOR FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  T2.TREASURER_VOTE WHERE T2.ELECTION_CYCLE  =  ""SPRING""","SELECT DISTINCT T1.FNAME FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  T2.VICE_PRESIDENT_VOTE EXCEPT SELECT DISTINCT FNAME FROM STUDENT WHERE CITY_CODE  =  ""PIT""",,2,0.75093926,0.25,Very Good
HOW MANY PATIENTS ARE NOT USING PROCRASTIN-X AS MEDICATION,SELECT COUNT(*) FROM PATIENT WHERE SSN NOT IN ( SELECT T1.PATIENT FROM PRESCRIBES AS T1 JOIN MEDICATION AS T2 ON T1.MEDICATION  =  T2.CODE WHERE T2.NAME  =  'PROCRASTIN-X' ),SELECT DISTINCT T1.PLAYER_NAME FROM PLAYER AS T1 JOIN PLAYER_ATTRIBUTES AS T2 ON T1.PLAYER_API_ID = T2.PLAYER_API_ID WHERE T2.DRIBBLING  =  ( SELECT MAX(OVERALL_RATING) FROM PLAYER_ATTRIBUTES),,0,0.49193496,0,Good
WHAT ARE THE OFFICIAL LANGUAGES OF THE COUNTRIES OF PLAYERS FROM MARYLAND OR DUKE COLLEGE,"SELECT T1.OFFICIAL_NATIVE_LANGUAGE FROM COUNTRY AS T1 JOIN MATCH_SEASON AS T2 ON T1.COUNTRY_ID  =  T2.COUNTRY WHERE T2.COLLEGE  =  ""MARYLAND"" OR T2.COLLEGE  =  ""DUKE""","SELECT T1.OFFICIAL_NATIVE_LANGUAGE FROM COUNTRY AS T1 JOIN MATCH_SEASON AS T2 ON T1.COUNTRY_ID  =  T2.COUNTRY WHERE T2.COLLEGE  =  ""MARYLAND"" OR T2.COLLEGE  =  ""DUKE""","SELECT T1.OFFICIAL_NATIVE_LANGUAGE FROM COUNTRY AS T1 JOIN MATCH_SEASON AS T2 ON T1.COUNTRY_ID  =  T2.COUNTRY WHERE T2.COLLEGE  =  ""MARYLAND"" OR T2.COLLEGE  =  ""DUKE""",2,1,1,Excellent
WHAT ARE THE DIFFERENT NAMES AND COUNTRIES OF ORIGINS FOR ALL ARTISTS WHOSE SONG RATINGS ARE ABOVE 9,"SELECT DISTINCT T1.ARTIST_NAME ,  T1.COUNTRY FROM ARTIST AS T1 JOIN SONG AS T2 ON T1.ARTIST_NAME  =  T2.ARTIST_NAME WHERE T2.RATING  >  9","SELECT DISTINCT T1.NAME FROM ARTIST AS T1 JOIN AIRCRAFT AS T2 ON T1.ARTIST_ID  =  T2.ID WHERE T2.CITY = ""WHITE'",,1,0.57894737,0,Good
FIND THE BUSIEST SOURCE AIRPORT THAT RUNS MOST NUMBER OF ROUTES IN CHINA,SELECT T1.NAME FROM AIRPORTS AS T1 JOIN ROUTES AS T2 ON T1.APID  =  T2.SRC_APID WHERE T1.COUNTRY  =  'CHINA' GROUP BY T1.NAME ORDER BY COUNT(*) DESC LIMIT 1,SELECT SUM(T2.FASTESTLAPSPEED) FROM RACES AS T1 JOIN RESULTS AS T2 ON T1.RACEID = T2.RACEID WHERE T1.YEAR  =  2004,,0,0.48566186,0,Good
WHAT IS THE DURATION FILE SIZE AND SONG FORMAT FOR EVERY POP SONG ORDERED BY TITLE ALPHABETICALLY,"SELECT T1.DURATION ,  T1.FILE_SIZE ,  T1.FORMATS FROM FILES AS T1 JOIN SONG AS T2 ON T1.F_ID  =  T2.F_ID WHERE T2.GENRE_IS  =  ""POP"" ORDER BY T2.SONG_NAME","SELECT COUNT(*) FROM TRIP AS T1 JOIN STATION AS T2 ON T1.END_STATION_ID  =  T2.ID WHERE T2.CITY !=  ""SAN FRANCISCO""",,0,0.46819109,0,Good
GIVE THE IDS FOR DOCUMENTS THAT HAVE THE BUDGET DESCRIPTION 'GOVERNMENT',"SELECT T1.DOCUMENT_ID FROM DOCUMENTS_WITH_EXPENSES AS T1 JOIN REF_BUDGET_CODES AS T2 ON T1.BUDGET_TYPE_CODE  =  T2.BUDGET_TYPE_CODE WHERE T2.BUDGET_TYPE_DESCRIPTION  =  ""GOVERNMENT""","SELECT DISTINCT T1.ADDRESS FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CUSTOMERID  =  T2.CUSTOMERID WHERE T1.COUNTRY  =  ""GERMANY""",,0,0.59481188,0,Good
WHAT IS THE MAXIMUM PRICE OF WINES FROM THE APPELATION IN THE CENTRAL COAST AREA WHICH WAS PRODUCED BEFORE 2005,"SELECT MAX(T2.PRICE) FROM APPELLATIONS AS T1 JOIN WINE AS T2 ON T1.APPELATION  =  T2.APPELATION WHERE T1.AREA  =  ""CENTRAL COAST"" AND T2.YEAR  <  2005",SELECT DISTINCT T1.PLAYER_NAME FROM PLAYER AS T1 JOIN PLAYER_ATTRIBUTES AS T2 ON T1.PLAYER_API_ID = T2.PLAYER_API_ID WHERE T2.OVERALL_RATING  >  ( SELECT AVG(OVERALL_RATING) FROM PLAYER_ATTRIBUTES ),,0,0.47075654,0,Good
WHAT ARE THE LAST NAMES FOR ALL SCHOLARSHIP STUDENTS,SELECT T2.LNAME FROM SPORTSINFO AS T1 JOIN STUDENT AS T2 ON T1.STUID  =  T2.STUID WHERE T1.ONSCHOLARSHIP  =  'Y',SELECT T2.NAME FROM SPORTSINFO AS T1 JOIN STUDENT AS T2 ON T1.STUID  =  T2.STUID WHERE T1.ONSCHOLARSHIP  =  'Y',,2,0.94117647,0.75,Excellent
HOW MANY COURSES DO THE STUDENT WHOSE ID IS 171 ATTEND,SELECT COUNT(*) FROM COURSES AS T1 JOIN STUDENT_COURSE_ATTENDANCE AS T2 ON T1.COURSE_ID = T2.COURSE_ID WHERE T2.STUDENT_ID = 171,SELECT COUNT(*) FROM SALARY AS T1 JOIN TEAM AS T2 ON T1.TEAM_ID  =  T2.TEAM_ID_BR WHERE T2.NAME  = 'BOSTON RED STOCKINGS' AND T1.YEAR  =  2000,,0,0.59648091,0,Good
WHAT IS THE NUMBER OF FACULTY AT LONG BEACH STATE UNIVERSITY IN 2002,"SELECT FACULTY FROM FACULTY AS T1 JOIN CAMPUSES AS T2 ON T1.CAMPUS  =  T2.ID WHERE T1.YEAR  =  2002 AND T2.CAMPUS  =  ""LONG BEACH STATE UNIVERSITY""","SELECT FACULTY FROM FACULTY AS T1 JOIN CAMPUSES AS T2 ON T1.CAMPUS  =  T2.ID WHERE T1.YEAR  =  2002 AND T2.CAMPUS  =  ""LONG BEACH STATE UNIVERSITY""","SELECT FACULTY FROM FACULTY AS T1 JOIN CAMPUSES AS T2 ON T1.CAMPUS  =  T2.ID WHERE T1.YEAR  =  2002 AND T2.CAMPUS  =  ""LONG BEACH STATE UNIVERSITY""",2,1,1,Excellent
WHAT IS THE AVERAGE SONG DURATION FOR THE SONGS THAT ARE IN MP3 FORMAT AND WHOSE RESOLUTION BELOW 800,"SELECT AVG(T1.DURATION) FROM FILES AS T1 JOIN SONG AS T2 ON T1.F_ID  =  T2.F_ID WHERE T1.FORMATS  =  ""MP3"" AND T2.RESOLUTION   <  800","SELECT TYPE FROM VOCALS AS T1 JOIN BAND AS T2 ON T1.BANDMATE  =  T2.ID WHERE LASTNAME  =  ""HEILO"" GROUP BY TYPE ORDER BY COUNT(*) DESC LIMIT 1",,0,0.49135381,0,Good
HOW MANY VOCAL TYPES ARE USED IN THE SONG LE POP,"SELECT COUNT(*) FROM VOCALS AS T1 JOIN SONGS AS T2 ON T1.SONGID  =  T2.SONGID WHERE TITLE  =  ""LE POP""","SELECT COUNT(*) FROM VOCALS AS T1 JOIN SONGS AS T2 ON T1.SONGID  =  T2.SONGID WHERE TITLE  =  ""LE POP""","SELECT COUNT(*) FROM VOCALS AS T1 JOIN SONGS AS T2 ON T1.SONGID  =  T2.SONGID WHERE TITLE  =  ""LE POP""",2,1,1,Excellent
FIND THE CONTACT CHANNEL CODE THAT WAS USED BY THE CUSTOMER NAMED TILLMAN ERNSER,"SELECT DISTINCT CHANNEL_CODE FROM CUSTOMERS AS T1 JOIN CUSTOMER_CONTACT_CHANNELS AS T2 ON T1.CUSTOMER_ID  =  T2.CUSTOMER_ID WHERE T1.CUSTOMER_NAME  =  ""TILLMAN ERNSER""","SELECT DISTINCT T1.CUSTOMER_DETAILS FROM CUSTOMERS AS T1 JOIN ORDERS AS T2 ON T1.CUSTOMER_ID = T2.CUSTOMER_ID WHERE T2.ORDER_STATUS = ""ON ROAD""",,1,0.76948376,0.66666667,Very Good
WHICH CITIES' TEMPERATURE IN MARCH IS LOWER THAN THAT IN JULY OR HIGHER THAN THAT IN OCT,SELECT T1.CITY FROM CITY AS T1 JOIN TEMPERATURE AS T2 ON T1.CITY_ID  =  T2.CITY_ID WHERE T2.MAR  <  T2.JUL OR T2.MAR  >  T2.OCT,SELECT T1.CITY FROM CITY AS T1 JOIN TEMPERATURE AS T2 ON T1.CITY_ID  =  T2.CITY_ID WHERE T2.MAR  <  T2.JUL OR T2.MAR  >  T2.OCT,SELECT T1.CITY FROM CITY AS T1 JOIN TEMPERATURE AS T2 ON T1.CITY_ID  =  T2.CITY_ID WHERE T2.MAR  <  T2.JUL OR T2.MAR  >  T2.OCT,2,1,1,Excellent
LIST THE NAME OF THE PHONE MODEL LAUNCHED IN YEAR 2002 AND WITH THE HIGHEST RAM SIZE,SELECT T2.HARDWARE_MODEL_NAME FROM CHIP_MODEL AS T1 JOIN PHONE AS T2 ON T1.MODEL_NAME  =  T2.CHIP_MODEL WHERE T1.LAUNCH_YEAR = 2002 ORDER BY T1.RAM_MIB DESC LIMIT 1;,SELECT T2.TEAM_NAME FROM UNIVERSITY AS T1 JOIN BASKETBALL_MATCH AS T2 ON T1.SCHOOL_ID  =  T2.SCHOOL_ID WHERE ENROLLMENT  <  (SELECT AVG(ENROLLMENT) FROM UNIVERSITY),,0,0.43052839,0,Good
WHAT ARE THE NAMES AND YEAR OF JOINING FOR ARTISTS THAT DO NOT HAVE THE COUNTRY UNITED STATES,"SELECT NAME ,  YEAR_JOIN FROM ARTIST WHERE COUNTRY != 'UNITED STATES'","SELECT T1.THEME ,  T2.NAME FROM EXHIBITION AS T1 JOIN ARTIST AS T2 ON T1.ARTIST_ID  =  T2.ARTIST_ID WHERE T1.TICKET_PRICE  >  (SELECT AVG(TICKET_PRICE) FROM EXHIBITION)",,0,0.35478744,0,Poor
