Questions,Query,Predicted,CorrectlyPredicted,TablesPredicted Correctly,Similarity,Columns predicted Correctly
WHAT ARE THE WINES THAT HAVE PRICES HIGHER THAN 50 AND MADE OF RED COLOR GRAPES,"SELECT T2.NAME FROM GRAPES AS T1 JOIN WINE AS T2 ON T1.GRAPE  =  T2.GRAPE WHERE T1.COLOR  =  ""RED"" AND T2.PRICE  >  50","SELECT DISTINCT T2.NAME FROM GRAPES AS T1 JOIN WINE AS T2 ON T1.GRAPE  =  T2.GRAPE WHERE T1.COLOR  =  ""RED""",,2,0.88040878,0.8
WHAT ARE THE DISTINCT HOMETOWNS OF GYMNASTS WITH TOTAL POINTS MORE THAN 575,SELECT DISTINCT T2.HOMETOWN FROM GYMNAST AS T1 JOIN PEOPLE AS T2 ON T1.GYMNAST_ID  =  T2.PEOPLE_ID WHERE T1.TOTAL_POINTS  >  57.5,"SELECT DISTINCT T1.FATE FROM MISSION AS T1 JOIN SHIP AS T2 ON T1.SHIP_ID  =  T2.SHIP_ID WHERE T2.NATIONALITY  =  ""UNITED STATES""",,0,0.52704628,0
COUNT THE NUMBER OF MALE STUDENTS WHO HAD CLASS SENATOR VOTES IN THE FALL ELECTION CYCLE,"SELECT COUNT(*) FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  CLASS_SENATOR_VOTE WHERE T1.SEX  =  ""M"" AND T2.ELECTION_CYCLE  =  ""FALL""","SELECT COUNT(*) FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  CLASS_SENATOR_VOTE WHERE T1.SEX  =  ""M"" AND T2.ELECTION_CYCLE  =  ""FALL""","SELECT COUNT(*) FROM STUDENT AS T1 JOIN VOTING_RECORD AS T2 ON T1.STUID  =  CLASS_SENATOR_VOTE WHERE T1.SEX  =  ""M"" AND T2.ELECTION_CYCLE  =  ""FALL""",2,1,1
FIND THE TITLES OF ITEMS WHOSE RATING IS HIGHER THAN THE AVERAGE REVIEW RATING OF ALL ITEMS,SELECT T1.TITLE FROM ITEM AS T1 JOIN REVIEW AS T2 ON T1.I_ID  =  T2.I_ID WHERE T2.RATING  >  (SELECT AVG(RATING) FROM REVIEW),SELECT T1.TITLE FROM ALBUMS AS T1 JOIN CHECKING AS T2 ON T1.CUSTID  =  T2.CUSTID WHERE T2.NAME LIKE '%EE%',,0,0.51298918,0.25
FIND THE CITIES WHICH WERE ONCE A HOST CITY AFTER 2010,SELECT T1.CITY FROM CITY AS T1 JOIN HOSTING_CITY AS T2 ON T1.CITY_ID = T2.HOST_CITY WHERE T2.YEAR  >  2010,SELECT T1.CITY FROM CITY AS T1 JOIN HOSTING_CITY AS T2 ON T1.CITY_ID = T2.HOST_CITY WHERE T2.YEAR  >  2010,SELECT T1.CITY FROM CITY AS T1 JOIN HOSTING_CITY AS T2 ON T1.CITY_ID = T2.HOST_CITY WHERE T2.YEAR  >  2010,2,1,1
WHAT IS THE TITLE OF THE COURSE THAT IS A PREREQUISITE FOR MOBILE COMPUTING,SELECT TITLE FROM COURSE WHERE COURSE_ID IN (SELECT T1.PREREQ_ID FROM PREREQ AS T1 JOIN COURSE AS T2 ON T1.COURSE_ID  =  T2.COURSE_ID WHERE T2.TITLE  =  'MOBILE COMPUTING'),SELECT TITLE FROM COURSE WHERE COURSE_ID IN (SELECT T1.PREREQ_ID FROM PREREQ AS T1 JOIN COURSE AS T2 ON T1.COURSE_ID  =  T2.COURSE_ID WHERE T2.TITLE  =  'MOBILE COMPUTING'),SELECT TITLE FROM COURSE WHERE COURSE_ID IN (SELECT T1.PREREQ_ID FROM PREREQ AS T1 JOIN COURSE AS T2 ON T1.COURSE_ID  =  T2.COURSE_ID WHERE T2.TITLE  =  'MOBILE COMPUTING'),2,1,1
LIST THE ID OF STUDENTS WHO REGISTERED COURSE STATISTICS IN THE ORDER OF REGISTRATION DATE,"SELECT T2.STUDENT_ID FROM COURSES AS T1 JOIN STUDENT_COURSE_REGISTRATIONS AS T2 ON T1.COURSE_ID = T2.COURSE_ID WHERE T1.COURSE_NAME = ""STATISTICS"" ORDER BY T2.REGISTRATION_DATE","SELECT T2.STUDENT_ID FROM COURSES AS T1 JOIN STUDENT_COURSE_REGISTRATIONS AS T2 ON T1.COURSE_ID = T2.COURSE_ID WHERE T1.COURSE_NAME = ""STATISTICS"" ORDER BY T2.REGISTRATION_DATE","SELECT T2.STUDENT_ID FROM COURSES AS T1 JOIN STUDENT_COURSE_REGISTRATIONS AS T2 ON T1.COURSE_ID = T2.COURSE_ID WHERE T1.COURSE_NAME = ""STATISTICS"" ORDER BY T2.REGISTRATION_DATE",2,1,1
FIND THE NAMES OF COURSES TAUGHT BY THE TUTOR WHO HAS PERSONAL NAME JULIO,"SELECT T2.COURSE_NAME FROM COURSE_AUTHORS_AND_TUTORS AS T1 JOIN COURSES AS T2 ON T1.AUTHOR_ID  =  T2.AUTHOR_ID WHERE T1.PERSONAL_NAME  =  ""JULIO""","SELECT T2.COURSE_NAME FROM COURSE_AUTHORS_AND_TUTORS AS T1 JOIN COURSES AS T2 ON T1.AUTHOR_ID  =  T2.AUTHOR_ID WHERE T1.PERSONAL_NAME  =  ""JULIO""","SELECT T2.COURSE_NAME FROM COURSE_AUTHORS_AND_TUTORS AS T1 JOIN COURSES AS T2 ON T1.AUTHOR_ID  =  T2.AUTHOR_ID WHERE T1.PERSONAL_NAME  =  ""JULIO""",2,1,1
FOR DIRECTORS WHO HAD MORE THAN ONE MOVIE RETURN THE TITLES AND PRODUCED YEARS OF ALL MOVIES DIRECTED BY THEM,"SELECT T1.TITLE ,  T1.YEAR FROM MOVIE AS T1 JOIN MOVIE AS T2 ON T1.DIRECTOR  =  T2.DIRECTOR WHERE T1.TITLE != T2.TITLE",SELECT DISTINCT YEAR FROM MOVIE AS T1 JOIN RATING AS T2 ON T1.MID  =  T2.MID WHERE T2.STARS  >=  4 ORDER BY T1.YEAR,,2,0.58218174,0.16666667
FIND THE NAMES OF REVIEWERS WHO HAD GIVEN HIGHER THAN 3 STAR RATINGS,SELECT T2.NAME FROM RATING AS T1 JOIN REVIEWER AS T2 ON T1.RID  =  T2.RID WHERE T1.STARS  >  3,"SELECT DISTINCT T2.TITLE FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CUSTOMERID  =  T2.CUSTOMERID WHERE T1.COUNTRY  =  ""BRAZIL""",,0,0.5007734,0
WHICH TOURIST ATTRACTION IS ASSOCIATED WITH THE PHOTO GAME1 RETURN ITS NAME,"SELECT T2.NAME FROM PHOTOS AS T1 JOIN TOURIST_ATTRACTIONS AS T2 ON T1.TOURIST_ATTRACTION_ID  =  T2.TOURIST_ATTRACTION_ID WHERE T1.NAME  =  ""GAME1""","SELECT DISTINCT T1.NAME FROM RACES AS T1 JOIN CIRCUITS AS T2 ON T1.CIRCUITID = T2.CIRCUITID WHERE T2.COUNTRY = ""SPAIN"" AND T1.YEAR > 2000",,0,0.58976782,0.25
FIND THE NAME OF THE PERSON WHO HAS NO STUDENT FRIENDS,SELECT NAME FROM PERSON EXCEPT SELECT T2.NAME FROM PERSON AS T1 JOIN PERSONFRIEND AS T2 ON T1.NAME  =  T2.FRIEND WHERE T1.JOB  =  'STUDENT',"SELECT DISTINCT T1.NAME FROM PERSON AS T1 JOIN PERSONFRIEND AS T2 ON T1.NAME  =  T2.NAME WHERE T2.NAME  =  ""KING BOOK""",,2,0.70295949,1
WHAT IS THE NAME AND DISTANCE OF EVERY AIRCRAFT THAT CAN COVER A DISTANCE OF MORE THAN 5000 AND WHICH AT LEAST 5 PEOPLE CAN FLY,SELECT T2.NAME FROM CERTIFICATE AS T1 JOIN AIRCRAFT AS T2 ON T2.AID  =  T1.AID WHERE T2.DISTANCE  >  5000 GROUP BY T1.AID ORDER BY COUNT(*)  >=  5,SELECT T2.NAME FROM CERTIFICATE AS T1 JOIN AIRCRAFT AS T2 ON T1.AID  =  T1.AID WHERE T2.DISTANCE  >  5000 GROUP BY T1.AID ORDER BY COUNT(*)  >=  5,,2,0.9797959,1
WHAT IS THE UNIT OF MEASUREMENT OF PRODUCT NAMED CUMIN,"SELECT T2.UNIT_OF_MEASURE FROM PRODUCTS AS T1 JOIN REF_PRODUCT_CATEGORIES AS T2 ON T1.PRODUCT_CATEGORY_CODE  =  T2.PRODUCT_CATEGORY_CODE WHERE T1.PRODUCT_NAME  =  ""CUMIN""","SELECT DISTINCT T1.STAGEPOSITION FROM PERFORMANCE AS T1 JOIN BAND AS T2 ON T1.BANDMATE  =  T2.ID WHERE FIRSTNAME  =  ""SOLVEIG""",,0,0.59481188,0
WHICH 3 WINERIES PRODUCE THE MOST WINES MADE FROM WHITE GRAPES,"SELECT T2.WINERY FROM GRAPES AS T1 JOIN WINE AS T2 ON T1.GRAPE  =  T2.GRAPE WHERE T1.COLOR  =  ""WHITE"" GROUP BY T2.WINERY ORDER BY COUNT(*) DESC LIMIT 3","SELECT T2.NAME ,  T2.HOMETOWN FROM MEMBERSHIP_REGISTER_BRANCH AS T1 JOIN MEMBER AS T2 ON T1.MEMBER_ID  =  T2.MEMBER_ID WHERE T1.REGISTER_YEAR  =  2016",,0,0.40089186,0
WHAT ARE THE DIFFERENT NAMES OF ALL REVIEWERS WHOSE RATINGS DO NOT HAVE A DATE FIELD,"SELECT DISTINCT NAME FROM REVIEWER AS T1 JOIN RATING AS T2 ON T1.RID  =  T2.RID WHERE RATINGDATE  =  ""NULL""","SELECT DISTINCT T1.FIRSTNAME FROM CUSTOMER AS T1 JOIN INVOICE AS T2 ON T1.CUSTOMERID  =  T2.CUSTOMERID WHERE T1.COUNTRY  =  ""BRAZIL""",,0,0.63157895,0
WHAT ARE THE TOTAL SCORES OF THE BODY BUILDERS WHOSE BIRTHDAY CONTAINS THE STRING JANUARY ,"SELECT T1.TOTAL FROM BODY_BUILDER AS T1 JOIN PEOPLE AS T2 ON T1.PEOPLE_ID  =  T2.PEOPLE_ID WHERE T2.BIRTH_DATE LIKE ""%JANUARY%"";",SELECT T2.TITLE FROM ITEM AS T1 JOIN REVIEW AS T2 ON T1.TEAM_ID  =  T2.TEAM_ID_BR WHERE T1.YEAR  =  10,,0,0.49099025,0
